question_id,question_type_id,stem,allow_text
71,1,"Ex. 10 p.204.
Look at the quotes in ex. 9 on p.204. Choose one of these quotes. Write a paragraph or two explaining what you think it means, and give an example of a friend you have that is the kind of friend described in the quote. Use a lot of adjective clauses.",1
72,1,Write a paragraph as outlined in ex 10 on page 180 of your book.,1
73,1,"Submit your revised Instructions draft as version 1. Any further revisions will be versions 2 & 3. Any questions or problems, please email me.",1
74,4,"Write an argumentative essay on a topic of your own choice. Follow one of the patterns of organization described in Chapter 12 of RCS. Make sure your essay includes some reference to the opposition's argument.  Although this is a first draft, write the essay as well as you can; edit it carefully before you submit it.",1
75,4,,1
76,1,"Proofread and revise, ""How to Fail a Test.""",1
77,1,"Free Writing: You may either continue an earlier writing (please provide some context -- I may not remember what you said before), or choose a new topic today. 
Have a great weekend: enjoy the day off on Monday! ; )",1
78,1,choose an outside reading and write a short summary about the reading. See Reading Strategy on Summarizing a Reading on page 135 in our textbook.,1
79,1,choose an outside article and write a short summary about it. See Reading Strategy: Summarizing a Reading on page 135 in our textbook.,1
80,2,"focus words for Unit 3 Reading 2: Write the part of speech and the definition.
suspend
focus
alternative
option
admonish
monitor
come down to",1
81,2,"focus words for Unit 3 reading 2: write the part of speech and a definition for these words:
suspend
focus
alternative
option
admonish
monitor
come down to",1
82,1,"Look at page 220 Exercise 10 in your book.  Read the instructions carefully.  Write a paragraph.  Use at least 5 examples of conditional setences.  Use ""wish"" where appropriate.",1
83,2,American students have a lot of expenses for college.  List the names of these expenses.,1
84,2,What are two ways that American students get money for their college expenses?  (Use information in the reading.),1
85,2,What are examples of expenses for college students that change?  (Use the reading.),1
86,2,What are examples of expenses for college students that don't change?  (Use the reading.),1
87,2,Is a university education in your country expensive?  How do students get money for their expenses?,1
88,1,Write 2 paragraphs about your choice for guardian.  The first should talk about your choice and WHY you chose that person/ those persons.  The second paragraph should state names of people who you think will not be good choices. Give at least one reason WHY each is not a good choice.,1
89,1,"Find the errors in the paragraph below.  Rewrite the paragraph without the errors.

     Very dificult to say which sport is most popular one in the United States.  More people watches baseball than any another sport.  But that is because there are so many professional baseball game (each team plays 162 games per year).  The average attendance figures for professional football is higher althogh there are not so many games (only 16 for each team per year).  basketball also popular, especialy in the big citys  In addition, there are sevral other sports have milions of fans.  These including ice hockey, soccer, golf and tenis  there is no single sport that dominate the hole country.",1
90,1,"Choose a guardian for the Crowley children.  (10 points)

STEP 1--GATHER INFORMATION

1.  Information about the parents--Readings 1 & 3

2.  Characteristics of a good guardian--Reading 5

3.  Information about the candidates for guardian  (See Reading 7A for a list of the candidates)--  Readings 2,3,4,6, 7B.

STEP 2--Write two paragraphs about your choice.

PARAGRAPH 1--The topic sentence of your paragraph should state the name(s) of the person(s) you think will be the best guardian(s).  Then, give at least three reasons to support your decision.

PARAGRAPH 2--The topic sentence should state the names of the people you think will not be good choices.  Give at least one reason why each person won't be a good guardian.",1
91,2,"in class on Thursday, 10/12, I asked you to choose 5 words from Unit 3 Reading 1 and write a sentence using each of these words. These are not focus words.",1
92,2,"focus words for Unit 3 Reading 2: write part of speech and definition for these words:
suspend
focus
alternative
option
admonish
monitor
come down to",1
93,2,"focus words reading 2 Unit 3: Write part of speech and the definition
suspend
focus
alternative
option
admonish
monitor
come down to",1
94,1,"read reading 2 in chapter 3- pages 131-133
then do the ""B. Check Comprehension""
exercise on p.133",1
95,1,"Write a paragraph about an important decision you have made.  How would your life have been different if you had made a different decision?  What different consequences would have resulted?  How would your life be different today?

(Sorry for the delayed posting!)",1
96,1,Write an essay of TWO paragraphs about a friend.    You may want to begin your essay with one of the quotations from Ex. 9.   Use adjective clauses with subject relative pronouns.   You can use Ex. 5 essay as a model.,1
97,4,"Write an essay on ONE of the following topics. You have 35 minutes to complete the essay. Submit your essay in the ELI Online Homework Submission web page before you leave the classroom.

1. It has been said that a person does not need a good education in order to give good advice; all that is needed is understanding of people and life.  Do you agree or disagree with this statement?  Support your point of view with reasons and examples?

2. Methods of education vary among different cultures.  Compare some aspects of education in two different cultures that you are familiar with. Which do you prefer?  Why?     

3. If you could travel back in time or into the future, which would you choose and what exact period of time would you like to experience? Use specific reasons and examples to support your choice.",1
98,1,"Write a letter to a friend or family member.  Tell her or him about a product you want to purchase.  Compare and/or contrast that product to another one.  Explain your preference to you friend or family member.  In other words, why do you prefer one product over the other?  Use the grammar of informational writing and pursuasive writing.  Also, use the format of a personal letter.  (Refer to activity 3-30 and 3-31 in the text)",1
99,1,"Write a letter to a friend or family member.  Tell her or him about a product you want to purchase.  Compare and/or contrast that product to another one.  Explain your preference to you friend or family member.  In other words, why do you prefer one product over the other?  Use the grammar of informational writing and pursuasive writing.  Also, use the format of a personal letter.  (Refer to activity 3-30 and 3-31 in the text)",1
100,2,Who are Lisa Conroy and Young Min?,1
101,2,How does Lisa get money?  (List 3 things.),1
102,2,List Lisa's expenses.,1
103,2,How does Lisa save money on her expenses?  (List 3 things.),1
104,2,"[Extra credit question]  How is Lisa different from Lily in Unit 3, pp. 26-27?  Do you think they are the same in any way?",1
105,1,Do exercise #10 on p.204 of your grammar textbook.,1
106,1,Do exercise #9 on p.217 in your grammar textbook.,1
107,1,The article on 'Webaholism' (pp. 73-75) stated that some schools are limiting students' time on-line in their computer labs.  Is this a reasonable policy?  Explain why or why not.  Write one paragraph to explain your answer. You must have a topic sentence for this paragraph.,1
108,1,"Imagine that you are going to write an essay with this thesis statement: ""Education is more important to a nation's wealth than natural resources.""  Write an introductory paragraph of 5-9 sentences for this essay.  After your paragraph, write in parenthesis which kind of introductory paragraph it is- turnabout, dramatic entrance, relevant quotation or funnel (it may be more than one).",1
109,4,"Choose 5 words from the vocabulary list for the reading ""My Money"".  Write a sentence with each word.  Be careful to begin each sentence with a capital letter and end with a period.",1
110,2,"Do exercise 2 on page 220,which involves the paragraph on page 219 in ex. 1. Just rewrite the 3 sentences by adding the additional information.",1
111,1,"p. 434 Ex. 11:  Describe an older person who has influenced you.  Be sure to use the 3 types of conditionals in this unit:  a) implied conditionals b) inverted conditionals and c) subjunctive.  Try to use (at least) 2 of each type.

If you submit by Thursday, Oct 19 at 8:00 pm, I will return to you in class on Friday morning.",1
112,1,Write a paragraph about a time when you had fun in the past.  Use at least 3 identifying and 3 non-identifying clauses.  Use subject and object clauses.,1
113,1,"Write a paragraph following the instructions in exercise 9 on page 217. If this is not interesting enough for you, you may do exercise 10 instead.",1
114,1,"Re-write your introdctory paragraph about education and natural resources.  Edit and change it, using Greg's red marks and comments as a guide.",1
115,2,"Read reading 3 and look for advice about how to achieve ""peak performance"".  Write 5 pieces of advice from this reading. (Four of these are under the subheadings on page 143.) Choose 2 of these pieces of advice and give an example of how an ELI student could use this advice to do better in one of the ELI classes.",1
116,2,"Read reading 3 and look for advice about how to achieve ""peak performance"". Write 5 pieces of advice from this reading. (Four of these are under the subheadings on page 143.) Choose 2 of these pieces of advice and give an example of how an ELI student could use this advice to do better in one of the ELI classes.",1
117,4,,1
118,2,"give the part of speech and write a sentence in your own words using these focus words:
peak
basis
monitor
engage
adept
key
key
ritual
DO NOT WRITE THE DEFINITION OF THE WORD> USE THE WORD IN A SENTENCE FROM YOUR OWN MIND>",1
119,4,Write the final draft of your argumentative essay.  Make sure you include some reference to the opposition's argument. Edit very carefully before you submit the essay.,1
120,1,"Write a letter to a friend or family member. Tell her or him about a product you want to purchase. Compare and/or contrast that product to another one. Explain your preference to you friend or family member. In other words, why do you prefer one product over the other? Use the grammar of informational writing and pursuasive writing. Also, use the format of a personal letter. (Refer to activity 3-30 and 3-31 in the text)",1
121,1,"Write a letter to a friend or family member. Tell her or him about a product you want to purchase. Compare and/or contrast that product to another one. Explain your preference to you friend or family member. In other words, why do you prefer one product over the other? Use the grammar of informational writing and pursuasive writing. Also, use the format of a personal letter. (Refer to activity 3-30 and 3-31 in the text)",1
122,1,"For each of the following words, write the:
Sentence
Part of Speech
Definition

1.  financial
2.  gain
3.  reliable
4.  discipline
5.  interest
6.  compound interest",1
123,1,"For each of the following words, write the:

Sentence
Part of speech
Definition

1.  debt
2.  charge
3.  handle
4.  confident
5.  safety net
6.  hesitate
7.  expense",1
124,1,"For each of the following words, write the:

Sentence
Part of Speech
Definition

1.  destroy
2.  miserable
3.  approximately
4.  toward
5.  majority
6.  excess",1
125,1,"For each of the following words, write the:

Sentence
Part of Speech
Definition

1.  commitment
2.  serve
3.  frugal
4.  disposable
5.  profitable",1
126,1,"For each of the following words, write the:

Sentence
Part of Speech
Definition

1.  entire
2.  fulfilling
3.  awareness
4.  emphasis
5.  emphasize
6.  charity",1
127,1,Do exercise 9 on p.238 from your textbook.,1
128,1,"Do exercise 9 on p.248 in your textbook.

Include any details and background information that are necessary for others to understand your situation.  

Be careful when selecting verb tenses and forms!",1
129,1,"Write a paragraph about a famous person and their accomplishments. Be sure to use the present perfect at least 6 times, and also use 'since' and 'for'.",1
130,4,"Choose 7 words from the list of vocabulary for ""The World's Oldest University"", pp. 52-53.  Write a sentence with each word.  Be sure you have the correct meaning of the word.  Use the handout from class.",1
131,1,"Write a converstion as described in exercise 9 on page 238, but use exercise 8 to help you with ideas about what your characters should talk about.",1
132,1,Read the essay about Cajun cuisine that you got in class.  Write a good concluding paragraph for this essay.  Write 3-5 sentences in your paragraph.,1
133,4,"Please submit your revised draft. It is not necessary to include your outline, but you should have references. Be sure to follow the format for your citations, and check spelling, grammar and punctuation!",1
134,4,Write 10 sentences with words on the vocabulary list.  Use the words on the list and the irregular past tense verbs.,1
135,4,"Write a cause and effect essay on a topic of your own choice (RCS, Chapter 11). Although this is a first draft, write the essay as well as you can; edit it carefully before you submit it.",1
136,1,"Ex. 9 p. 126  Describe the worst eating experience you have ever had.  (or you can describe the best experience!)

If you submit your paragraph by 7:00 pm on Sunday 10/29, I will grade it & return it to you in class on Monday morning.",1
137,1,Write a paragraph based on the instructions in ex. 9 on page 248. It's due on Tuesday.,1
138,1,"Write two or three paragraphs about the best or worst meal experience you have ever had.  Your essay can be serious or funny.  Describe the kind of meal it was and what was good, bad, interesting or funny about it.  (Look at the example on page 126 in your textbook).",1
139,1,Do exercise 9 on p. 261 in your textbook.,1
140,1,Do Activity 4-6 on pages 98-99 (#s 1-4).  Use complete sentences in your answers.,1
141,1,Write about a city you visited in the past.  Use at least 5 regular and 5 irregular past tense verbs in the paragraph.,1
142,1,Describe an environmental problem in your country.  See p. 140 Ex. 8 for suggested topics.,1
143,2,Why did the ancient people of Babylon and Egypt study the stars?,1
144,2,Why do people now like to study the zodiac and the Chinese zodiac?  (2 reasons),1
145,2,List 10 adjectives from the reading that can describe a person's character.,1
146,1,"Look at the situations described in Unit 10. Choose one and do a web search on it. Write a short paragraph  speculating on what might have happened.
Or, write your opinion of VonDaniken's theories about the Nazca lines or the statues on Easter Island.",1
147,4,Write a sentence with each word on the vocabulary list for Unit 7 Chapter 1.  You will write 10 sentences.,1
148,4,,1
149,1,"Topic:  Choose an environmental issues and tell me why you think this is important and what should be done about it.  

Notes:
I will focus on your use of articles in this writing; however, continue to pay attention to other grammar points we have studied this term (tense, modals, etc.).

Refer to page 140 Ex. 8 in your textbook for an example paragraph and possible environmental issues you might write about.",1
150,1,,1
151,1,"Reading 3
Unit 3—Unit Task 1



Your task is to give the Pandit family some advice about a solution to their financial problems. There are two parts to your report.

Part I.  Write a short paragraph (3-5 sentences) to discuss each of the following suggestions. You should have one paragraph for each suggestion (a total of five paragraphs).  Make sure you explain your reasons for each suggestion.  Write about each item even if you don’t believe the Pandits can achieve it.  For example, if you don’t believe there are ways for the Pandits to earn more money, explain why.  (10 points)

1.  Ways to cut their expenses.
2.  Possible ways to save money for current expenses.
3.  Ways to make more money.
4.  Ways to plan for their financial future.
    a.  Discuss the ways money can work for them.
5.  Get help with medical and education costs.

Be realistic.  Consider current financial obligations and cultural influences.


Part II.  Illustrate your report using a chart, pyramid or table. You may use more than one         illustration if you choose. (10 points)

Include at least six of the following vocabulary words.  UNDERLINE them in your report. (1/2 point each) 


 
1.        be in the red/run in the red
2.        bills
3.        compete
4.        debts
5.        deficit
6.        file for bankruptcy
7.        (get) out of debt
8.        (get) out of hand
9.        hire
10.        payments
11.        realistic
12.        solution",1
152,1,"Write a paragraph based on one of the topics in Ex. 9 p. 152.  Use at least 5 different quantifiers in your paragraph.  

Please type your email (your preferred email) at the end of your paragraph.  I will email you comments on your paragraph to help you prepare for the test.",1
153,1,"Someone gave the ELI $200,000.  You are the leader of the student committee.  You must decide how you are going to use the money to improve the ELI.  Write a paragraph telling what you are going to do.

Example:  We are going to buy new desks.  The desks are too small.",1
154,1,"Look at the cartoon about the chess and checkers players (you got it in class).  Write a paragraph (5-8 sentences) about this cartoon.  Describe it for someone who has not seen it.  Also, interpret it in your own words: what do you think it means?  Use one of these cause-type phrases in your paragraph and underline it: because of, as a result, consequently, so, therefore.",1
155,4,"Write the part of speech and definition:
reserve (5)
rigid (6)
functional (9)
parameter (11)
status (11)
labor of love (9)
+ 4 of you own words
Choose 3 and write one original sentence for them",1
156,2,"Write the part of speech and definition:
reserve (5)
rigid (6)
functional (9)
parameter (11)
status (11)
labor of love (9)
+ 4 of you own words
Choose 3 and write one original sentence for them",1
157,1,Imagine you are running for class or school president. Write a short speech. Include 5 campaign promises. Use future real conditionals.,1
158,1,Explain to your teacher how you became successful.  (See page 149 of the text),1
159,1,Explain to your teacher how you became successful.  (See page 149 of the text),1
160,4,,1
161,2,"Look at the Life Line on your ""active hand"".  Is it faint or deep?  What does this say about your personality?  (Use the vocabulary in the reading.  Write sentences.)",1
162,2,"Look at the Heart Line on your ""active hand"".  Is it faint or deep?  What does this say about your personality?  (Use the vocabulary in the reading.  Write sentences.)",1
163,2,"Look at the Head Line on your ""active hand"".  Is it long or short?  What does this say about your personality?  (Use the vocabulary in the reading.  Write sentences.)",1
164,2,Now describe your real personality.  Is it the same or different from the information in this reading passage?  (Use the vocabulary in the readiing.  Write sentences.),1
165,1,"Look at exercises 11 and 12. Choose one topic. Write about whether you think men and women should live in spearate worlds, or what you might do if you won $10,000. Use a lot of unreal conditional sentences, at least 5.",1
166,1,"Write two paragraphs that compare the cuisine of the !Kung diet with college cuisine. Choose two of the following criteria:
Nutritional Value
Cost
Variety
Health Related Problems",1
167,4,Write a final (second) draft of your cause and effect essay.  Edit your essay carefully before submitting it.,1
168,2,"Here are the vocab words for the quiz:

adept at        


engage in        


key
        


ritual



peak


        


to monitor        


basis        


 dwell on



profile


        


rigorous        


resemble        


tangible



accessible
        


ultimately        


tend         


anxious / anxiety



nonstrenuous

        


fit        


soothing        


take after

Here are their definitions:



skillful        


participate in        


very important
        


ceremony



the highest level of sth


        


to watch carefully        


info or ideas from which sth develops        


 think to long about sth unpleasant 



a short description


        


careful, thorough        


look like        


clear enough to be easily seen



easy to obtain, use
        


after everything        


be likely         


worried



not using a lot of strength

        


in good physical shape        


relaxing        


look like / act like",1
169,2,"Here are the vocab words for the quiz:

adept at 


engage in 


key



ritual



peak





to monitor 


basis 


dwell on



profile





rigorous 


resemble 


tangible



accessible



ultimately 


tend 


anxious / anxiety



nonstrenuous




fit 


soothing 


take after

Here are their definitions:



skillful 


participate in 


very important



ceremony



the highest level of sth





to watch carefully 


info or ideas from which sth develops 


think to long about sth unpleasant 



a short description





careful, thorough 


look like 


clear enough to be easily seen



easy to obtain, use



after everything 


be likely 


worried



not using a lot of strength




in good physical shape 


relaxing 


look like / act like",1
170,1,"Imagine you are running for ELI president.  Write a short speech.  Include five campaign promises.   Use future real conditionals.   If you become president, what will you do?",1
171,2,"Write ONE sentence that connects the two sentences.  Use ""so"" to connect the sentences. 

I ate two sandwiches. 
I was so hungry.",1
172,2,"Write ONE sentence that connects the two sentences.  Use ""because"" to connect the sentences. 

I failed the test. 
I didn't study.",1
173,2,How do you study?  (use an adverb in your sentence),1
174,2,What will you do in December?,1
175,2,What did you do yesterday?,1
176,1,"For each of the following words, write:

The sentence in which it is found in the reading
The part of speech
The appropriate definition

1.  destroy
2.  miserable
3.  approximately
4.  toward
5.  majority
6.  excess
7.  (an extra vocabulary word)",1
177,1,"For each of the following words, write the:

Sentence in which it is found in the reading
Part of Speech
Definition

1. commitment
2. serve
3. frugal
4. disposable
5. profitable
6. (an extra vocabulary word)",1
178,1,"For each of the following words, write the:

Sentence in which it is found in the reading
Part of Speech
Definition

1. entire
2. fulfilling
3. awareness
4. emphasis
5. emphasize
6. charity
7. (an extra vocabulary word)",1
179,1,Do ex 11 on p 347,1
180,1,Do Ex9 on p. 358 (unit 24),1
181,2,What did Morgan try to prove in this documentary?,1
182,2,Did he prove it?  Why or why not?  Be specific.,1
183,2,What types of evidence did Morgan use in this movie?,1
184,2,Which of these types of evidence was or were most persuasive for you?  Why?,1
185,2,What is your overall evaluation of McDonald's restaurant?  What criteria did you use in your evaluation?,1
186,2,What is your overall evaluation of this movie?  Why?,1
187,1,Explain to your teacher how you became successful. (See page 149 of the text),1
188,1,Explain to your teacher how you became successful. (See page 149 of the text),1
189,4,"Write an essay comparing any of the University of Pittsburgh's nationality Rooms.  Even though this is the first draft, edit the essay carefully before submitting it (online).",1
190,4,Write the second draft of your comparing two or more of the Nationality Rooms.  Edit the essay carefully before submitting it (online),1
191,1,"Consider the personality categories that have been mentioned in this unit, and choose the one which you beleive fits you the best. 
Use at least 4 adjective clauses in your paragraph.   Pay attention to your grammar in general (not only the grammar point we are studying).
Refer to the example in your book on page 194.",1
192,2,What is Steve Clarkson's job?,1
193,2,What gadgets does Steve Clarkson use?,1
194,2,Tina Feng is a student.  What is she studying?,1
195,2,What gadgets does Tina Feng use?,1
196,2,Describe Steve Clarkson's sister.,1
197,2,Describe the gadget that Steve's sister uses.,1
198,2,List your favorite gadgets.,1
199,4,"Complete the revised draft, making sure you have included at least one outside source. Make sure your reference citation follows the form you were given.",1
200,1,"Explain to your teacher how you became successful. (See page 149 of the text)  For those of you who had trouble with the website, please resubmit your paragraph here.",1
201,4,"Write a sentence with each word or phrase on the list for Unit 8, Chapter 1.  You will write 10 sentences.",1
202,1,"Look at exercise 9 and ten. Choose one topic. Write a paragraph on the topic. Use a lot of past unreal conditionals, at least 3.",1
203,4,,1
204,1,Write one persuasive paragraph to answer the following question:  Do you agree or disagree with the following statement?  Watching television is bad for children.  Use specific details and examples to suport your answer.,1
205,4,Write an essay that evaluates one of your final writing assignments.  You will be given specific directions on a piece of paper.  Follow them exactly.,1
206,4,"Revise/edit and submit your corrected final writing assignment -- make sure your citations (references)are in correct form.  All drafts will be handed in, along with a copy of the articles you consulted for the paper.",1
207,1,"Write a movie review of a movie you have seen.  Include (a) a short description of the plot of the movie and (b) your evaluation of the movie (you can comment on the acting, the cinematography, the plot etc).

Use at least 3 adjective clauses and 2 adjective phrases.  (I will give higher grades to paragraphs that have more than the minimum.)

DO NOT COPY A MOVIE REVIEW YOU FIND ONLINE - OR EVEN BORROW EXPRESSIONS FROM ONE.  I WILL NOT GRADE ANYTHING THAT DOESN'T LOOK LIKE YOUR WRITING.

I will return to you in class on Monday, Nov. 27, any papers that are submitted by 7:00 pm on Nov. 26.

Have a good Thanksgiving!",1
208,1,Complete 2nd draft of Chapter 4 final writing assignment on Evaluation.,1
209,1,Compare food from your region with the food from another region in your country. Use at least 6 comparisons and at least 2 as...as in your paragraph.,1
210,1,Write a short paragraph about your country or another country you know. Use the table in the exercise to help you. Use a lot of sentences in the passive.,1
211,2,favorite,1
212,2,certain,1
213,2,belief,1
214,2,fact,1
215,4,"Write two connected paragraphs on the general topic of ""success"".  Do not write an introduction or conclusion.",1
216,0,,1
217,7,,0
218,7,His ______ is wrong.,0
219,7,The _________ just finished the experiment.,0
220,7,My _______ food is ice cream.,0
221,7,This statement is a ______ because we have a lot of evidence to support it.,0
222,1,Write a paragraph about your favorite food.,1
223,1,I wake up at 7:30.  I eat breakfast at 8:00.,1
224,1,Do the writing assignment for unit 1 in your grammar book.,1
225,1,Write a paragraph about your favorite foods.,1
226,2,Write a paragraph about your favorite foods.,1
227,2,"Decide which type of sentence each of the following is.  Then, write ""simple"", ""compound"", or ""complex"" underneath each sentence.",1
228,2,,1
229,2,,1
230,2,,1
231,2,,1
232,2,,1
233,2,I met a man who has had a very successful life.,1
234,2,She will be successful in her life because of her hard work.,1
235,2,I want to succeed in the advertising field.,1
236,2,The speech of the President was a success; the audience liked it.,1
237,2,"When you spend your time in a useful way, you will succeed.",1
238,2,"I worked very hard every day, so I was able to finish the job successfully.",1
239,2,What is the best part of Christmas for Mackin?,1
240,2,What details does she give to support this idea?,1
241,2,Are the details convincing?  Are they specific?,1
242,2,"Does the paragraph have a topic sentence?  If so, what is it and what is the controlling idea?",1
243,2,How did the author organize this paragraph?  What words and phrases did she use to make her organization clear?,1
