anon_id,gender,birth_year,native_language,language_used_at_home,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,course_history,yrs_of_english_learning,yrs_in_english_environment,age
be0,Male,1980,French,French,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,Spanish,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Spanish;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,4;10;16;22;28,more than 5 years,none,25
cj6,Female,1982,Spanish,Spanish,,,,,,,,,,,,,9;16,more than 5 years,none,23
al9,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,31;32;33;34;35;45;56;67;78;89;105;117;129;153;165;209,more than 5 years,none,19
dj0,Female,1985,Korean,Korean,English,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,no,,,,no,,31;32;33;34;35;45;56;67;78;89;105;117;129;153,1-2 years,none,20
bs7,Female,1968,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class,Italian,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation,French,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in French;Practiced reading aloud;Teacher corrected my mistakes;other,31;32;33;34;35;45;56;89,more than 5 years,none,38
bp8,Female,1981,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud,,,no,,,,no,,31;32;33;34;35;46;59;68;79;92;164;175;186;208,more than 5 years,none,24
dr4,Female,1986,Japanese,Japanese,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,31;32;33;34;35;46;59;68;79;92,more than 5 years,none,19
bb4,Female,1982,Chinese,Chinese;Taiwanese,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,31;32;33;34;35;45;59;92;115;151,3-5 years,1-2 years,24
gp4,Male,1986,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,French,less than 1 year,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in French;Studied pronunciation;Teacher corrected my mistakes,,,no,,31;32;33;34;35;47;58;65;80;91;105;117;127;153,more than 5 years,less than 1 year,19
am8,Female,1982,Thai,Thai,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud,Chinese,less than 1 year,yes,Worked in pairs/groups;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronunciation,,,no,,19;31;32;33;35;47;58;65;91;106;118;149;182;208,less than 1 year,none,23
at8,Female,1984,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);other,Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary;Studied pronunciation,,,no,,31;32;33;34;35;46;59;68;79;92;106;118;129;153,more than 5 years,none,21
ei7,Male,1983,Korean,Korean,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,31;32;33;34;35;42;59;69;80;92;101;113;125;154,less than 1 year,none,22
er4,Male,1988,Arabic,Arabic;English,English,3-5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,31;32;33;34;35;46;57;68;79;90;106;115;130;154;176,3-5 years,less than 1 year,18
fb7,Female,1974,Other,Telugu,English,less than 1 year,yes,Studied grammar;Teacher spoke to me in English;Practiced reading aloud,Telugu,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in telugu;Practiced reading aloud;Wrote paragrphs/essays,,,no,,2;8;14;20;26;46;57;68;90,1-2 years,less than 1 year,31
ga3,Female,1976,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,2;14;20;47;54;69;80;87;106;115;130;150;176;187;209,3-5 years,less than 1 year,29
fk5,Male,1958,Korean,Korean,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English,,,no,,,,no,,2;8;14;20;26;99;111;123;147;158;169;180;202,less than 1 year,less than 1 year,48
ea7,Female,1974,Spanish,Spanish,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays,,,no,,,,no,,2;8;14;20;26;45;59;67;78;92;118;154,less than 1 year,less than 1 year,31
dc8,Female,1979,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays,,,no,,,,no,,2;8;14;20;26;47;59;69;80;92,3-5 years,none,26
cx6,Male,1985,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,2;8;14;20;26;45;56;67;78;89;106;118;130;154,more than 5 years,1-2 years,21
ch7,Male,1985,Arabic,Arabic,English,less than 1 year,yes,Studied grammar;Studied vocabulary;Practiced reading aloud,,,no,,,,no,,2;8;14;20;26;46;57;68;79;90;106;114;130;150,none,1-2 years,20
ew1,Female,1981,Spanish,Spanish,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays,Italian,less than 1 year,no,I lived in a country where they spoke Italian,,,no,,4;10;14;20;28,more than 5 years,none,24
by1,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,2;8;14;20;26;45;56;67;78;89;103;118;129;151;165;176,more than 5 years,3-5 years,19
ad6,Male,1978,Arabic,Arabic;Farsi,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation,,,no,,,,no,,2;10;14;20;28;45;60;67;78;93;106;130,3-5 years,1-2 years,27
fe5,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,2;8;14;20;26;46;57;68;79;90;105;117;129;153,more than 5 years,less than 1 year,18
cb1,Male,1982,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays;other,,,no,,,,no,,2;8;14;20;26;45;56;67;78;89;106;118;130;154,more than 5 years,3-5 years,23
bx2,Female,1969,Korean,Korean;English,,,,,,,,,,,,,4;10;28,more than 5 years,more than 5 years,37
gd3,Male,1981,Turkish,Turkish,,,,,,,,,,,,,4;10;28,1-2 years,1-2 years,24
ek4,Female,1974,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,4;10;28,less than 1 year,1-2 years,31
fg3,Female,1954,Japanese,Japanese;English,,,,,,,,,,,,,5;12;23;29,more than 5 years,more than 5 years,53
dj4,Male,1979,Arabic,Arabic;English,English,1-2 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English,,,no,,,,no,,3;22;26;47;58;72;91,1-2 years,1-2 years,26
bq1,Female,1968,Russian,Russian;English,Italian,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Teacher corrected my mistakes,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,Estonian,1-2 years,no,Studied by myself;I lived in a country where they spoke Estonian,5;27,3-5 years,3-5 years,37
ei8,Female,1963,Chinese,Chinese;Japanese,English,less than 1 year,yes,Studied vocabulary;Practiced reading aloud,Japanese,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese;Studied pronunciation;Practiced reading aloud,,,no,,1;7;13;19;25;43;54;66;76;87;123;150;161;172;183;205;220;242;264;276;287;298;320;422;423,1-2 years,1-2 years,43
eh8,Male,1985,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Wrote paragrphs/essays,,,no,,,,no,,1;7;13;19;25;44;53;66;75;86;103;115;127;151;164;172;206,more than 5 years,less than 1 year,20
dr5,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,1;7;13;19;25;43;54;65;76;87;103;115;127;151;165;176;187;209,more than 5 years,less than 1 year,18
cl4,Male,1986,Arabic,Arabic,English,1-2 years,no,Studied by myself,,,no,,,,no,,1;7;13;19;25;43;53;64;75;86;98;113;125;149,more than 5 years,less than 1 year,20
cz7,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,1;7;13;19;25;44;54;66;76;87;98;113;125;149,more than 5 years,less than 1 year,19
gj4,Male,1987,Arabic,Arabic,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,1;7;13;19;35;43;54;65;76;91;102;114;125;153;165;176;187,more than 5 years,less than 1 year,18
aq1,Female,1969,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,German,less than 1 year,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in German;Teacher corrected my mistakes,,,no,,1;13;19;42;53;64;74;86;102;111;126;150;162;173;184;208;230;241;252;263;389;393;772;776;820,more than 5 years,less than 1 year,37
av1,Female,1979,Japanese,Japanese,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,1;7;13;19;25,more than 5 years,less than 1 year,26
fy8,Female,1982,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,1;13;19;42;52;64;75;85;102;111;125;147;173;206,more than 5 years,less than 1 year,23
bt2,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes,,,no,,,,no,,1;7;13;19;26;43;54;65;76;91;102;114;126;154,more than 5 years,less than 1 year,18
cx7,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Teacher spoke to me in English,,,no,,,,no,,1;7;13;19;25;41;52;64;75;86,more than 5 years,less than 1 year,18
eo2,Female,1979,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Wrote paragrphs/essays,Italian,more than 5 years,yes,Studied grammar;Studied vocabulary,,,no,,1;7;13;19;25;43;54;66;76;87;98;110;146;160;204;228;238,more than 5 years,less than 1 year,26
bv4,Female,1982,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,31;32;35;104;116;152,more than 5 years,none,23
da4,Male,1982,Other,Bangla,English,more than 5 years,no,Studied by myself;I lived in a country where they spoke English,Arabic,less than 1 year,no,I learned from my friend who is a native speaker,,,no,,2;20;26,more than 5 years,1-2 years,24
cv9,Female,1958,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,no,,,,no,,2;8;26;57;90,more than 5 years,3-5 years,47
fe8,Male,1967,Spanish,Spanish,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Teacher corrected my mistakes,,,no,,6;12;18;24;30,3-5 years,less than 1 year,38
