question_id,Inferred Stim Info [or notes],New Notes,Judgment Value ,Original Stim Info
350,,,2,"Write a paragraph describing a movie or a scene in a movie that you have seen. You may use any tenses, but be sure to use the simple past, past progressive and past perfect AT LEAST once each.  You should have at least 10 sentences."
361,,,2,"Write one paragraph of 6-8 sentences.

Imagine you are a travel agent advertising a dream vacation in space.  Use your imagination to write about what your clients will do, what they will see, and how they will feel.  What will hotel accommodations look like?  What kinds of activities are there going to be?  What types of food will people eat?  Be creative!

Example:  This is an experience you will never forget!  Come with us to the Moon.  We'll show you the sights and what Earth looks like from space..."
365,,,1,Who is someone that you love and why do you love them?
368,,,3,"Write the first draft of the Final Writing Assignment from Unit 2 of your textbook.
You should write at least 4 paragraphs for this assignment.

Think carefully about your thesis statement.
Be sure to connect the topic sentences of your supporting paragraphs to the thesis statement.

Be sure that all information in the body of your essay relates to and supports the thesis statement.

Use imperatives, conditionals, and modals in your writing.

Print a copy of your first draft and bring it to class on Monday, February 12.  We will do a peer review and begin to revise."
398,,,2,"Write about how you feel in your home, office, or classroom.  What makes you feel good?  What makes you feel bad?  What would you like to change?  Use at least 6 phrasal verbs.  Look at Exercise 5 for a good model."
400,,,2,"In paragraphs 3-4, the author says that to accept the idea that English is ""simply a means of reaching a wider audience...ignores the deep-rooted ties between individual freedom and political power, between the linguistic, social and economic mechanisms which in every society underpin relations between people and groups and between culture and communities.""  What are the ""ties"" (connections) the author is talking about? 
According to the author, how does understanding these connections make the use of English seem to be a problem?"
402,,,2,"In this unit, you read about Mary Verdi-Fletcher who couldn't stand or walk by the time she was 12 years old.  In spite of her disabilities, she was able to dance and she created a very special dance company. 

Write a paragraph of 7-8 sentences about a person you know or read about who, like Verdi-Fletcher, succeeded in spite of a disability or problem she or he had.  

If you can't think of anyone, look at the list of people in exercise 9 on page 133.  Research and write about one of them.

USE CAN, COULD, BE ABLE TO AND TIME CLAUSES."
419,,,3,Follow the directions given above and in the class. You will hand in your typed paragraph(s)(with correct heading and format) and your lists on Thursday; please staple them together.
428,,,1,What are the three most important things in life and why?
436,,,1,1
444,,First 1-2 sentences are very similar among participants,1,"Look at the picture in your text on p. 163.  Imagine you are a student at the EFL Computer Training Institute.  Write a letter of complaint to Mr. Thompson, the owner of the school.  Give advice on improvements the institute should make.

Write 6-8 sentences using the modals should, ought to and had better.  Be polite.

Eample:  
Dear Mr. Thompson:
I am a student at the EFL Computer Training Institute.  My classes are very good, but ..............First, I think you should......"
457,,,3,"After you've made the corrections I noted on your chapter 1 assignment, copy and paste your final version online.  Don't forget to change your document from double space to SINGLE SPACE before you paste it here!!!"
470,,,2,You have received a gift of money.  The money is enough to buy either a piece of jewelry you like or tickets to an event that you really want to attend.  Which would you buy?  Use specific details and examples to support your answer.
475,,,2,"What do you think an ideal educational setting (school) would look like according to the authors?  

Use the text to support your answer."
491,,,2,Please write a paragraph of at least ten sentences about a place you remember from your childhood.  Use identifying and non-identifying clauses and subject and object adjective clauses.  Use the clauses to help you explain where things were and why they were important.  Use Exer. 4 as a model.
492,,,2,"Write a paragraph of 7-8 sentences about someone's accomplishments (achievements).  It can be someone famous or someone you know.  Use the present perfect with SINCE and FOR.

Example:  Ingrid has been a high school physical education teacher and a private sports trainer for many years.  She has received two awards since 1998....."
545,,,3,"Write the final draft of your explanatory essay.  Use the feedback from your second draft to make revisions.
Review Chapter 3 and be sure that you have used the techniques for explaining.
Do not use ""stated you"" sentences or imperatives in this essay.
Your essay should be 4-5 paragraphs.
Check your thesis statement, and be sure that all of the information in the body of your essay relates to the thesis.
This essay must include at least one outside source.  Check your textbook and the handout from class for information on citing sources and using quotations.  Don't forget the reference list at the end of your essay.
Please bring a copy of your essay to class on Monday, March 19."
550,[1 korean response removed (not 60 words)],,2,"Imagine you and two friends are giving a party tonight.  Leave a note for one friend to explain what you've already done and what you haven't done yet. 

Also tell your friend what the other person has already done and hasn't done yet.

Write 7-8 sentences.

Example:  

Hi Sue Young,

I'm getting ready for the party tonight.  I've already bought the soda, but I haven't gotten the potato chips yet.  Yoon is helping me.  He has already ........, but he hasn't ..........yet."
552,,,2,"Write a letter to a friend or family member. Tell him or her about a product that you want to purchase (computer, car, home, etc.). Compare and/or contrast that product to another similar one (for example, two computers). Explain your preference to your family member. In other words, why do you prefer one product over the other? 

Use the grammar of informational writing and persuasive writing. Also, use the format of a personal letter: include a heading, greeting, body and closing. The body of your letter should be two or three paragraphs. Use either Plan A or Plan B (text page 75) to organize your writing.

Use appropriate logical organizers and comparatives to show similarities or differences. Use your textbook for reference. 

Check your writing for complete sentences, grammar, spelling and punctuation."
559,,,2,"In the future, students may have the choice of studying at home by using technology such as computers or television, or of studying at a traditional school. What are some of the effects of this?  Explain."
593,,,2,"Using your classmates' quotes (from the handout in class), write a short paragraph talking about the rain. You can agree or disagree with a person, or you can use their quote to support your own feelings.  You MUST use at least one exact QUOTE and one CITATION.  Be sure to use proper paragraph structure and proper punctuation for quotes/citations."
657,,,2,"Write the final draft of your evaluation essay.
Use my comments on your second draft to make necessary revisions.
Check to make sure that you have a clear thesis statement that expresses your overall evaluation.
Be sure that each topic sentence is connected to your thesis statement.
Be sure that you have used at least one outside source."
975,[1 korean response removed],,1,"Write one paragraph about your favorite restaurant. 

Possible Ideas:
Why do you like it?  What kind of restaurant is it?  How often do you eat there?"
976,,"2 different topics, music and travel",3,0
981,,"3 different topics, global warming, traffic, poverty",3,Write a paragraph using gerunds and infinitives.
1002,[1 korean response removed],,1,Write your summary.  Begin with the main idea and include the most important details.
1020,,,3,Submit the final draft of your chapter 2 final assignment.
1021,,,2,see above
1032,,All unique topics,3,0
1037,,,2,Write a paragraph based on Exercise 9 on page 18 of your grammar book.
1091,,,2,see above.
1092,,,1,"What do you think of Dr. Schwartz's advice?  Choose one piece of her advice that you think is valuable and one piece of advice that you do not think is valuable, and explain why."
1117,,,1,1.  Some people prefer to take a position in a company and work for the company. Other people think it's better to go into business for themselves. Which do you think is better? Give specific reasons and examples to support your response.
1118,,,2,2.  What is one historical event in your country that has had a major effect on your country? Give specific reasons and examples for your response.
1119,[1 korean response removed (not 60 words)],,2,What have you thought about doing?  Why haven't you done it?  What have you done instead?
1129,,,2,"Write an outline and then an essay based on three supporting ideas (paragraphs) for the topic: the pressures of being a student. (See text pp. 72-73; use the sentences you wrote for support.) 
This is a first draft, so you will be revising it later, but please check it for spelling, vocabulary, grammar and punctuation."
1166,,At least 2 different topics,2&3,"use the same topic that you used the first time, but make any improvements necessary."
1169,,,1,"According to the text, smell plays a part in how people choose their mates.  After having read the text, do you find this idea to be reasonable?  Why or why not?"
1177,,,2,"What advice would you give to a new ELI student to help them succeed in learning English?

Hints:
Think of things that you do that help you succeed.
What is the most important thing that you do?
You can talk about doing homework, making friends, living in the U.S.A. or anything else that relates to this topic."
1207,,,3,see above
1215,,,2,"Before ......., I had never ,,,,,,,,"
1216,,1 response seems to be off topic,2,0
1249,,Seems like every response is to a different article,3,"Write your summary here.  Don't fprget to include the title, author, source and date of the article.  Also, chooose two words and write their part of speech and definition."
1262,,Multiple topics,3,"Choose one of the topics on page 86 (A.) and make a list of the steps in the process; organize your list according to time order to write an outline. Then write your paragraph, including supporting sentences in time order. Make sure that you have adequately described each step in the process. End with a conclusion that restates the the purpose and summarizes the process. Check your writing to make sure it is logical and in good English form."
1341,,Multiple topics,3,"Write one paragraph.  Begin with the main idea of the article and include the most important details.  Use your own words to write most of your summary.  If you do quote from the article, be sure to use quotation marks."
1354,,Different subjects but similar formats,2,"Choose on of the following:
Ludwig van Beethoven (composer)
Marlee Maitlin (actress)
Adrea Bocelli  (singer)
Christopher Reeve (actor)
Marla Runyan   (athlete)
Stephen Hawking (scientist)
Auguste Renoir (painter)       
Frida Kahlo (painter)"
1381,,,1,Use order of importance or time order organization to write a paragraph about the steps in the writing process. Your paragraph must include a topic sentence and signal words.
1384,"[Essay about heart disease or the failure of the undergrad grill?  See 1352, this id has more responses]",1 response has different topic,1,
1464,,1 response has different topic,2,Be sure to check the writer's credential's and to include as much reference information as is available on your cite.
1511,,,1,Do you think it's normal or strange to throw away something that is still in usable condition?  Why?
1517,,Very different topics,2&3,"cause and effect essay, draft 2."
1519,,Only 1 response not about pets,2,"Revise the paragraph that you wrote on one of the following topics.

1. architecture
2. television
3. pets"
1544,,,2,See above
1545,,,2,"Write an essay of two paragraphs about a friend.  Use adjective clauses.  This assignment is based on page 204 / exercise 10 in your grammar book, which has some suggestions and models."
1548,,,2,"Write a paragraph about your future plans. Use WILL and BE GOING TO for the things you are certain about. Use MAY, MIGHT and COULD for the things you think are possible."
1549,,Different topics,3,see above
1593,"[Essay of some sort, outline included in some responses]",Different topics,3,
1641,,1 very different response,2,"Follow the directions in your text (A, p. 125) for writing your comparison essay. Submit your draft after checking it for grammar, punctuation, spelling and vocabulary."
1642,,,2,see above
1667,,,1,What are three important things we can learn from Caral in regard to other cultures?  Remember to support your opinion with information from the text.
1670,"[Only chinese reply got filtered out somehow, fixed for deleter 5]",,3,"Write a paragraph about a dilemma, predicament or problematic situation that you have experienced.  Describe what happened and what  the people who were involved should have, might have or could have done."
1674,,,3,"Write and revise your essay.  Think about the type of essay that is given as well as your topic.  Your essay should contain a strong introduction and thesis statement, a well-developed body that supports the thesis statement, and a conclusion."
1675,,,3,"Write and revise your essay.  Think about the type of essay that is given as well as your topic.  Your essay should contain a strong introduction and thesis statement, a well-developed body that supports the thesis statement, and a conclusion."
1680,,Multiple topics,3,persuasive essay revision...
1682,,2 highly similar topics,2,"Choose one of the following to write a short essay about; you will have 30 minutes to outline, organize your ideas and write:  

1. In some countries, teenagers have jobs while they are still students. Do you think this is a good idea? Support your opinion by using specific reasons and examples.

2. Some people think that the family is the most important influence on young adults. Other people think that friends are the most important influence on young adults. Which view do you agree with? Use examples to support your answer."
1683,,,2,"If you could live in any time period (past, present, or future), which one would you pick? Choose one and make a list of your reasons. Arrange the list in order of importance; you may begin or end with your most important reason. Then write a paragraph explaining your choice."
1684,,,3,Use at least 5 examples of passive.
1733,,2 open ended topics,3,"Topics:  Choose One!
* Write about an accident you have heard about, either real or fictional.
* Write about an unsolved mystery like the Bermuda Triangle,   Bigfoot, or the Lock Ness Monster."
1734,,,2,"Write a paragraph about a relationship that is important to you.  How did you meet?  What were you doing when you met?  Describe some events in the relationship.  Use the simple past and the past progressive.

Example:  I met my friend Dania while I was living in Germany. . ."
1739,"[Essay about various topics, seems like the most refined version after ids 1710 and 1685]",,3,"Is competition good for children's creativity, according to the authors?"
1740,,,2,Use at least 3 stative passives and 5 opinion passives in your writing.  Refer to the grammar notes in U. 14 for verbs that are used in both of these categories.
1753,,Very different topics,3,"Follow the directions in your book, pp. 72-74. Use the Revision checklist on page 75 to check your writing before submitting it."
1781,,,2,"Write at least 8 sentences to introduce yourself on a personal website or a My Space or Facebook page. Use the reading on page 19 as an example.
Use the simple past, present perfect and present perfect progressive.  Be sure to use all three tenses."
1782,,Very similar structure among responses,1,On p 44-45 we have the introduction to a narrative essay and the topic sentence for each of the body paragraphs.  Your job is to write the supporting details for the body paragraphs and a good transitional sentence at the end of each of those paragraphs.  Make sure you use descriptive language that paints a picture in the mind of the reader.
1814,"[Essay, topic possibly a memory or a place you never forget]",,3,"You should type your essay in Microsoft Word first.  It should be 2-4 pages double spaced.  Once you have finished your essay, copy and paste it into the online homework program.  Don't forget:

- your essay should be 2-4 pages long
- do NOT include your name
- do NOT double space in the online submission program

Your essay should be well-developed, include a hook, a thesis statement, transitions, and interesting details."
1815,,,3,"Include at least 10 nouns in your description.  Your grade will be based on:
Accuracy               ____/5
Frequency/variety ____/2.5
Appropriateness   ____/2.5"
1859,,,3,"Write a paragraph explaining an achievement, learning a new skill, or getting a job.  What had you been doing before your achievement?  How did you prepare for it?  Had you considered giving up before you succeeded?

Use the following tenses:  
simple past, 
present perfect, 
present perfect continuous, 
past perfect, 
past perfect continuous.

Example:  I got my driver's license yesterday.  Before I got behind the wheel, I'd been worrying about the road test.  but as soon as I started the car, I knew I could pass."
1880,,,2,"Your paragraph will be graded on:

accuracy          ____/5
frequency/variety ____/2.5
appropriateness   ____/2.5"
1885,,,2,"Use at least 5 different quantifiers.

Your paragraph will be graded on the following:
accuracy:  _____/5
variety/frequency: _____/2.5
appropriateness:  _____/2.5"
1929,,Multiple topics,3,"Your essay should be in good form, with an introduction, 3 body paragraphs to support your thesis, and a conclusion paragraph that summarizes (see textbook for examples). Please ask if anything is not clear. The essay must be completed and submitted before class tomorrow, Tuesday, Oct. 23."
1937,,,3,"Make sure that you have sufficiently planned, organized and revised your essay.  You should also include transitions and connectors for compare/contrast statements."
1945,,,2,"Think of an important decision you made in your life.  What would've happened if you had made a different decision?  How would your life be different now?

Use at least 4 conditional statements and 1 wish statement."
1951,,,3,Use conditional sentences and clauses with wish where appropriate!
1952,,,2,"Write a paragraph about a friend. You may want to begin your paragraph with one of the quotations from Exercise 9 on page 203 in your text. Use AT LEAST 8 adjective clauses with subject relative pronouns.  You may use the essay in exercise 5, p. 200 as a model, but DO NOT use the exact wording. 

Example:  Do friends have to be people WHO have the same interests or personality?  I don't think so.  My best friend Richie is someone WHOSE personality is completely different from mine..."
1953,,,3,"Choose one of the topics on page 86 (A.) or page 88 (On Your Own) and make a list of the steps in the process; organize your list according to time order to write an outline. Then write your paragraph, including supporting sentences in time order. Make sure that you have adequately described each step in the process and use proper transitions. End with a conclusion that restates the purpose and summarizes the process. Check your writing to make sure it is logical and in good English form."
2079,,,2,"Write about a dilemma that you have faced.  Discuss what you and others SHOULD HAVE, OUGHT TO HAVE, MIGHT HAVE, or COULD HAVE done in the situation. Use exercise 4 as a model.

Use 4 modals in the affirmative and 2 in the negative.  Write at least 6 sentences."
2212,,,1,"Copy your paragraph from Tuesday, and past it here."
2213,,,3,Write a short paragraph about your family OR your hometown (you can decide which topic you like better).
2214,,,2,"Write a profile to introduce yourself to your class. Write about your interests and hobbies, and your plans. Use the simple present and present progressive. You can use the profile in Exercise 3 as a model."
2219,,,2,"Write a profile (description) to introduce yourself to the class.  Write about your name, your interests and hobbies, and your plans.  Use the SIMPLE PRESENT and PRESENT PROGRESSIVE.  You can use the profile in Exercise 3 on page 6 of your textbook as a model, but DO NOT COPY the sentences from the exercise!

  Use AT LEAST 3 verbs in the SIMPLE PRESENT and AT LEAST 3 verbs in the PRESENT PROGRESSIVE.

EXAMPLE:  My name is Thuy Nguyen, but my American friends call me Tina."
2220,,,2,"What do you think of Dr. Schwartz's advice?  Choose two pieces of her advice that you think are valuable or two pieces that you do not think are valuable, and explain why."
2276,,,2,"Write a paragraph about yourself for a personal website like the one on page 19 in your textbook.  Tell about your interests and hobbies.  use the SIMPLE PAST, PRESENT PERFECT, & PRESENT PERFECT PROGRESSIVE. 

Use EACH TENSE AT LEAST 2 TIMES."
2277,,All unique topics,3,post your process essay below.
2278,,,2,"Write a few paragraphs about yourself for a personal website like the one on page 19. Tell about your interests and hobbies. Use the simple past, present perfect, and present perfect progressive."
2279,,"Despite stim, only 1 response isn't about English",1,"Choose 1 of the topics below:

1. Topic: The Benefits of Learning English
A.
B.


2. Topic: The Effects of Pollution
A.
B."
2282,,,2,Martin claims she uses her psychic abilities to solve crimes.  Nickell is skeptical.  Who do you find more convincing?  Why?
2284,,,2,How to Learn English.
2290,,,1,How did Robert McCrae and his colleagues investigate stereotypes?  (Summarize their experiment.)
2294,,Multiple responses start the exact same then diversify,2,Do exercise 9 on p.152.
2304,"[Possibly generic essay, 3 of 6 about internet, 1 electricity, 1 friendship, 1 nature/nurture]",Misc topics,3,Don't forget... do NOT double space and do NOT include your name or your teacher's name.
2327,,,2,"Write about how you feel in your home, office, or classroom. What makes you feel good? bad? What would you like to change? Use phrasal verbs. You can use the journal entry in Ex. 5 as a model."
2330,,,2,"Write a paragraph about how you feel in your home, office or classroom.  What makes you feel good?  What makes you feel bad?  What would you like to change?  

USE AT LEAST 8 PHRASAL VERBS.  

You can use the journal entry in Exercise 5 on page 166 of your textbook as a model.  DO NOT COPY FROM THE EXERCISE.  JUST USE IT AS A MODEL.

EXAMPLE:  My dorm room is bright and sunny.  The room always cheers me up when I get back from a hard day at school.  My roommate and I picked out the curtains together.  We are going to put up some new posters on the walls...."
2335,,Very different topics,3,Submit your essay here. Don't forget... do NOT include my name or your name. Do NOT double space.
2396,,,2,"Do you agree or disagree with the following statement?
        
Telling the truth is the most important consideration in any relationship. Use specific reasons and examples to support your answer."
2446,[More options due to fixing overlimit issue],Multiple topics,3,"Don't forget:
- You must print out a typed and formatted version of your essay to turn in to me in class (1"" margins, 12 pt Times New Roman, 4 pages minimum)
- You MUST use at least one of your new vocabulary words (adjacent, attain, contrary, diverse, evaluate, implicit, integral, regime, transit, unify).
- You MUST use transitions that show cause or effect.
- Do NOT include my name or your name when you submit your essay online."
2448,,,3,Your writing MUST be submitted by noon on Wednesday to be considered on time!
2471,,,1,"In your opinion, is open adoption good or bad?  Explain your thoughts on this topic."
2493,[1 spanish response removed (not 60 words for text3)],,2,"If you were going to start a business, would you be inclined to start a business in an unconventional way like she did?  Would you modify anything or would your approach be identical to Roddick's?"
2524,,,3,"Here are your choices for the essay topic:

CAUSE AND EFFECT ESSAY:  STEREOTYPES
Unfortunately, stereotyping is common in many societies today. People judge other people based mainly on which ethnic group or nationality they belong to, and often these stereotypes are negative and harmful.

Write a cause and effect essay about this topic. You can focus on either the causes of stereotyping or the effects of it. In other words, you can explain why stereotypes exist or what happens when many people have stereotypes.

ARGUMENTATIVE ESSAY:  MILITARY DRAFT
Some countries have military drafts where young men must serve in the army, navy or air force. They have no choice if they are healthy: they must spend some time in the military.

Do you think this is good or bad? You can focus on your country in particular or on the idea of military drafts in general. Choose one viewpoint and present your arguments for or against military drafts.

DO NOT INCLUDE YOUR NAME OR YOUR TEACHER'S NAME IN YOUR SUBMISSION!"
2525,[Readded due to fixing overlimit issue],,3,Don't forget.... do NOT include your name or my name in your submission. Bring a printed copy of your essay to class.
2527,,,2,"In a paragraph, describe your favorite place to eat lunch in Oakland.  Remember to type it in Word, save it and then print a final copy to bring to class."
2532,[1 korean response removed (not 60 words)],,2,Write a paragraph to introduce yourself.
2533,,,3,Write your answer here.
2536,,,3,good luck
2539,,,2,"Write a paragraph about an important relationship. Please check your paragraph before submitting it (spelling, grammar, etc.)"
2541,,,2,"In your paragraph, you should refer back to the thesis statement and the topic statements that we discussed in class about this topic."
2543,,"Multiple topics, though appears all someone frome each lang did same topic",3,Please choose ONE topic from the Discussion/Composition topics on p. 47 and 48.  Write a response of at least 2 paragraphs.
2550,,,2,Double-check your work!
2563,,,2,Post your compare/contrast in-class essay here.  This should be your completed first draft.
2569,,,2,"What is your superpower?!

Have fun writing the paragraph.  Check your verb tenses before you submit it, please."
2571,,,2,Please check your spelling and punctuation.
2577,,,2,"Remember to include an in-text citation in your paragraph.  This can be a direct quotation or a paraphrase, but must include a citation."
2615,,,2,Write a paragraph about a friend.  Use adjective clauses.
2634,,,2,Remember to use at least one vocabulary in your paragraph.
2647,,,2,"Write a paragraph comparing two sports figures or two professional musicians.  You should also explain why you think they are the best athletes or musicians compared to others in their field.  If you want an example of how to start, look at Exercise 9 on page 305."
2657,"[Only spanish reply got filtered out somehow, fixed for deleter 5]",,2,"Please write two paragraphs.  The first should be a summary of the reading ""Merchants of Death"".  The second should be your response to the reading and the issues mentioned in the reading.  

You may do more than one paragraph for the response if you wish."
2669,,,2,Example:  I have lived in Pittsburgh for six months.  I've already visited...
2748,,,3,For homework I asked you to write an order-of-importance paragraph. Pleae type your paragraph below and submit it.
2749,,,2,Why is it important for students of English as a second language to improve their typing skills?
2764,,,2,"Contrast your life in the past and your life now.  In the first paragraph, describe how your life used to be at some point in the past.  In the second paragraph, describe your life today.
Your writing will be graded with the following points:
Accuracy /5
Frequency/Variety /2.5
Appropriateness /2.5
Total /10"
2771,[1 chinese response removed (not 60 words)],,2,Example:  My name is Tamar.  I moved to Pittsburgh in 2002 to study at the University of Pittsburgh.  I've been working in the ELI for almost 6 years.....
2778,,,2,good luck!
2779,,All 3 appear to use the same topic,2,"Choose one topic from either the Brainstorming activity on the top of page 42, activity A, or from the top of page 43, the clustering activity:
- my best friend
- the importance of education
- good manners
- money brings _____
- sports
- music
- gardening
- architecture

First practice your prewriting techniques, then write your paragraph. Submit the first draft of your paragraph below."
2791,[1 korean response removed (not 60 words)],,2,"Write a paragraph about an experience you have had on the phone. Refer to the example on page 180. 
Use at least 5 phrasal verbs from the box on page 180."
2808,,Multiple topics,3,"Choose one topic from either the Brainstorming activity on the top of page 42, activity A, or from the top of page 43, the clustering activity:
- my best friend
- the importance of education
- good manners
- money brings _____
- sports
- music
- gardening
- architecture

First practice your prewriting techniques, then write your paragraph. Submit the first draft of your paragraph below."
2809,,,2,"Write me a letter about a typical day in your life (use pages 181-182 in your book as a model). 
Use at least 5 phrasal verbs in your paragraph and pay very special attention to tense."
2835,,,2,"Describe a trip that you have taken.  Where did you go, and when?  How long did you stay?  Who went with you?  What did you take along?  What did you do there?  Refer to page 248 of your textbook if you need an example of how to start."
2849,,,2,Describe a time when you had 'flow' for an activity.  Did your sense of flow contribute to a feeling of creativity?
2851,,,2,Discuss an experience in school when your creativity was either encouraged or hindered.  Discuss this event in relation to the pairs of words you have chosen to discuss in #3.
2852,,"All but 1 responses are for topic 1, all 3 languages present",1,"Choose 1 of the following topics to write about:

1. Explain the CAUSES of obesity in children.
OR
2. What are the effects of the internet on businesses?"
2856,,"1 response seems to be about different topic, all 3 languages still okay",2,see above
2857,,,2,"You have been asked to write an article for the ELI News about why the ELI is a good choice for students who want to study English as a foreign language.  To support your topic sentence, your article must include information from the charts on your handout, as well as at least quotation from one of your classmates.  How do you get that quotation?  Ask your classmates questions like:
- Why do you think the ELI is a good place to study?
- Why would you recommend the ELI to other students?
- What do you think are the strengths of the ELI?
- Why did you choose the ELI at Pitt over other schools?
Make sure that your article has a concluding sentence. When you are finished, be sure to proofread and revise.  As always, you will be graded on content, organization and mechanics."
2859,,,1,"Write a paragraph about the most exciting thing that has happened to you in Pittsburgh.  Be careful to use both count and non-count nouns.  Also, use definite and indefinite articles in your writing."
2864,,,2,"Accuracy ____/5
Frequency/Variety ___/2.5
Appropriateness  ___/2.5"
2870,,,2,Write a short paragraph about a place that you remember from your childhood.  Use adjective clauses.
2872,,,1,"Write a paragraph of at least 10 sentences to describe your favorite food. Do NOT give instructions for how to prepare the food. You want to describe it -- the color, size, texture, shape, smell, taste, etc. Try to include new vocabulary from page 73 of your text. 

Be sure to organize your ideas, use transitions, and proofread/revise your paragraph before you submit it."
2887,,Unique topics,3,Yesterday I returned your in-class writing assignment in which you wrote a process paragraph. Please carefully read your teacher's comments and make those revisions. You can also make any other revisions that you would like in order to improve your paragraph. You will be graded on this assignment.
2890,[Essay about sleep or stress],Multiple topics with some overlap,2&3,"Write the first draft of your problem/solution esssay and submit it here.  Use the essay plan on p.135 of your textbook to help you.  

Remember: each solution should have its own paragraph.  Don't forget to include either one quotation OR one paraphrased sentence from an outside source. 

If you have any questions, please talk to your teacher."
